Vector_Size,Block_Size,Blocks_Per_Grid,CUDA_Copy_H2D_ms,CUDA_Kernel_ms,CUDA_Copy_D2H_ms,CUDA_Total_ms
1000,32,32,0.032736,0.109312,0.018688,0.160736
1000,64,16,0.038912,0.120384,0.017056,0.176352
1000,128,8,0.02784,0.10592,0.016896,0.150656
1000,256,4,0.028672,0.108096,0.017984,0.154752
1000,512,2,0.028672,0.112288,0.0176,0.15856
1000,1024,1,0.028416,0.11264,0.016448,0.157504
10000,32,313,0.064992,0.157792,0.028352,0.251136
10000,64,157,0.060192,0.110592,0.026656,0.19744
10000,128,79,0.076096,0.196128,0.031072,0.303296
10000,256,40,0.059712,0.104544,0.025888,0.190144
10000,512,20,0.1024,0.104448,0.032288,0.239136
10000,1024,10,0.082624,0.13456,0.02848,0.245664
100000,32,3125,0.281888,0.159328,0.131456,0.572672
100000,64,1563,0.282528,0.10736,0.12544,0.515328
100000,128,782,0.31968,0.166496,0.160512,0.646688
100000,256,391,0.287136,0.14128,0.154336,0.582752
100000,512,196,0.27648,0.109792,0.127552,0.513824
100000,1024,98,0.274656,0.110464,0.157088,0.542208
1000000,32,31250,1.9577,0.163712,0.968096,3.0895
1000000,64,15625,2.08198,0.150976,0.96864,3.2016
1000000,128,7813,2.044,0.151808,1.02867,3.22448
1000000,256,3907,1.9664,0.157312,0.958976,3.08269
1000000,512,1954,1.92538,0.15456,0.999776,3.07971
1000000,1024,977,2.00666,0.161184,1.02336,3.1912
10000000,32,312500,17.8079,0.678336,8.77667,27.2629
10000000,64,156250,17.2456,0.576096,8.52013,26.3418
10000000,128,78125,17.6766,0.615904,8.96096,27.2535
10000000,256,39063,17.9716,0.636864,9.1887,27.7971
10000000,512,19532,17.513,0.617984,8.6263,26.7572
10000000,1024,9766,17.4366,0.590272,8.61043,26.6373
100000000,32,3125000,171.647,9.77072,86.0581,267.476
100000000,64,1562500,173.296,4.7721,86.2498,264.318
100000000,128,781250,174.907,4.7217,86.8464,266.475
100000000,256,390625,171.22,4.72378,84.6147,260.558
100000000,512,195313,178.226,4.75162,85.817,268.795
100000000,1024,97657,175.329,4.80157,88.5834,268.714
